question,soru_tipi,graphrag_processing_time,graphrag_madde_precision,graphrag_madde_recall,graphrag_madde_f1,graphrag_faithfulness,graphrag_answer_relevancy,graphrag_semantic_similarity,graphrag_llm_context_precision_with_reference,graphrag_context_recall,graphrag_non_llm_context_recall,basicrag_processing_time,basicrag_madde_precision,basicrag_madde_recall,basicrag_madde_f1,basicrag_faithfulness,basicrag_answer_relevancy,basicrag_semantic_similarity,basicrag_llm_context_precision_with_reference,basicrag_context_recall,basicrag_non_llm_context_recall
"Bir kamu görevlisi, görevinden kaynaklanan nüfuzu kötüye kullanarak kendisine veya başkasına yarar sağlarsa veya vaatte bulunursa hangi suçtan dolayı yargılanır?",single-hop,6.6,1.0,1.0,1.0,1.0,0.3671,0.784,1.0,1.0,0.0,5.79,0.1,1.0,0.1818,1.0,0.3671,0.7896,1.0,1.0,0.0
Uluslararası casusluk suçunun failinin bir Türk vatandaşı olması veya yabancı bir uyruklu olması ceza süresini etkiler mi?,single-hop,6.01,0.0,0.0,0.0,0.6,0.6376,0.7566,0.0,0.0,0.0,2.16,0.1,1.0,0.1818,1.0,0.4142,0.8629,1.0,1.0,0.0
İradi alkol etkisinde suç işleyen kişi ile irade dışı alkol etkisinde suç işleyen kişinin cezai sorumluluğu nasıl farklılaşır?,single-hop,5.79,0.3333,1.0,0.5,0.75,0.4834,0.8165,1.0,0.6667,0.0,4.07,0.1,1.0,0.1818,1.0,0.5078,0.8262,1.0,0.6667,0.0
Kasten işlenen suçlarda hak yoksunlukları nelerdir ve cezanın infazı tamamlandıktan sonra da devam eder mi?,single-hop,6.14,0.1818,1.0,0.3077,0.8889,0.329,0.8549,1.0,1.0,0.0,3.94,0.1,0.5,0.1667,1.0,0.2812,0.8854,1.0,0.6667,0.0
Tekerrür hükümleri hangi durumlarda uygulanmaz?,single-hop,5.53,1.0,1.0,1.0,1.0,0.7317,0.918,1.0,1.0,0.0,2.86,0.1,1.0,0.1818,1.0,0.7243,0.9114,1.0,1.0,0.0
"Bir fiil işlendiği sırada suç değilse, daha sonra yürürlüğe giren bir kanunla suç sayılıp cezalandırılabilir mi?",single-hop,3.46,0.0,0.0,0.0,0.6667,0.933,0.8434,0.0,0.2,0.0,2.55,0.1,1.0,0.1818,1.0,0.49,0.8974,1.0,1.0,0.0
İşkence ve eziyet suçları hangi temel insan haklarını ihlal eder?,single-hop,4.62,1.0,1.0,1.0,1.0,0.4609,0.841,1.0,1.0,0.0,2.69,0.0,0.0,0.0,0.6364,0.359,0.7913,0.0,0.0,0.0
"İşkence sonucu mağdurun duyularında sürekli zayıflama meydana gelmesi durumunda, verilen ceza ne kadar artırılır?",single-hop,5.92,0.5,1.0,0.6667,1.0,0.4075,0.8718,1.0,1.0,0.0,1.51,0.1,1.0,0.1818,1.0,0.3948,0.8755,1.0,1.0,0.0
"Çocuğun düşürülmesinin, kadının bedensel veya ruhsal sağlığına zarar vermesi durumunda, failin cezası nasıl değişir?",single-hop,4.82,0.2222,1.0,0.3636,1.0,0.3273,0.8661,1.0,1.0,0.0,2.67,0.2,1.0,0.3333,1.0,0.4066,0.8583,1.0,1.0,0.0
Türk Ceza Kanunu'nun hangi bölümü malvarlığına karşı işlenen suçları ele alır?,single-hop,2.91,0.0,0.0,0.0,0.3333,0.0,0.8405,0.0,0.0,0.0,1.31,0.4,0.1379,0.2051,0.0,0.0,0.7906,0.0,0.0,0.0
Grev veya lokavt sırasında işveren veya işçilere ait eşyalara verilen zarar hangi ceza ile cezalandırılır?,single-hop,3.76,1.0,1.0,1.0,1.0,0.3426,0.7652,1.0,0.6667,0.0,2.49,0.1,0.5,0.1667,0.8,0.3379,0.7849,1.0,0.6667,0.0
Bir resmi belgeyi sahte olarak düzenleyen veya gerçek bir resmi belgeyi başkalarını aldatmak amacıyla değiştiren kişiye ne kadar hapis cezası verilir?,single-hop,7.5,1.0,1.0,1.0,1.0,0.4974,0.8528,1.0,0.3333,0.0,2.29,0.1,1.0,0.1818,1.0,0.4974,0.8551,1.0,0.3333,0.0
Resmi bir belgeyi düzenlemek yetkisine sahip bir kamu görevlisine yalan beyanda bulunan kişi ne kadar hapis veya para cezası alabilir?,single-hop,11.9,1.0,1.0,1.0,1.0,0.506,0.805,1.0,0.3333,0.0,1.57,0.1,1.0,0.1818,1.0,0.5072,0.8106,1.0,0.3333,0.0
"Bir kişi, halk arasında korku ve panik yaratmak amacıyla tehditte bulunursa hangi suçtan dolayı yargılanır?",single-hop,5.43,1.0,1.0,1.0,1.0,0.6315,0.813,1.0,1.0,0.0,2.52,0.1,1.0,0.1818,1.0,0.5362,0.7372,1.0,1.0,0.0
Müstehcen içeriklerin basın ve yayın yoluyla yayılmasına aracılık eden kişi ne kadar hapis cezası ile karşı karşıya kalabilir?,single-hop,7.12,1.0,1.0,1.0,1.0,0.469,0.8453,1.0,1.0,0.0,2.24,0.1,1.0,0.1818,1.0,0.4571,0.8545,1.0,1.0,0.0
İhaleye fesat karıştırma suçunun oluşması için ihale mevzuatına veya şartnamelere göre gizli tutulması gereken bilgilerin başkalarına ulaştırılması yeterli midir?,single-hop,4.77,0.0909,1.0,0.1667,1.0,0.4315,0.9473,1.0,0.6667,0.0,2.91,0.1,1.0,0.1818,1.0,0.3792,0.8992,1.0,0.6667,0.0
Sahte banka veya kredi kartı kullanarak haksız kazanç sağlayan kişiye verilebilecek en hafif ceza nedir?,single-hop,4.99,1.0,1.0,1.0,1.0,0.5263,0.8977,1.0,1.0,0.0,6.83,0.1,1.0,0.1818,0.5,0.5347,0.8906,1.0,1.0,0.0
"Bir bilişim sistemine verileri bozma, silme, değiştirme veya erişilemez kılma yoluyla kişisel veya başka birinin çıkarına haksız kazanç sağlandığında verilebilecek en ağır ceza nedir?",single-hop,6.02,0.1429,1.0,0.25,0.75,0.5042,0.6607,1.0,1.0,0.0,5.13,0.1,1.0,0.1818,1.0,0.5174,0.6818,1.0,1.0,0.0
Kendisine veya başkasına yönelik ağır bir tehlikeden kurtulmak için yapılan eylemler cezai sorumluluk doğurur mu?,single-hop,4.78,1.0,1.0,1.0,1.0,0.4542,0.8475,1.0,1.0,0.0,3.07,0.0,0.0,0.0,0.2222,0.5065,0.7073,0.0,0.0,0.0
Hükümetin izni olmadan yabancı bir devletin hizmetinde çalışmak için vatandaşları silahlandıran kişiler için hangi ceza uygulanır?,single-hop,3.43,0.0,0.0,0.0,0.7143,0.0,0.7002,0.0,0.0,0.0,2.02,0.1,1.0,0.1818,1.0,0.512,0.893,1.0,1.0,0.0
